Sl. No.,District,Extensive,None,Semi-intensive,None_1,Intensive,None_2,Highly Intensive,None_3,Total,None_4,None_5
28,Barguna,539,787,2246,7786,28,261,0,0,2813,8834,3.14
29,Barishal,839,894,6205,24196,2710,16593,94,1005,9848,42688,4.33
30,Bhola,300,420,2073,7001,5660,31959,36,495,8069,39875,4.94
31,Jhalokati,7,10,1049,3790,268,1705,7,82,1331,5587,4.20
32,Patuakhali,1347,1812,6958,25213,192,1231,28,301,8525,28557,3.35
33,Pirojpur,761,1093,1961,6773,386,2614,0,0,3108,10480,3.37
Barishal Division,None,3793,5016,20492,74759,9244,54363,165,1883,33694,136021,4.04
None,None,< 1.5 MT/Ha,None,1.5 - 4.0 MT/Ha,None,>4- 10 MT/Ha,None,>10.0 MT/Ha,None,None,None,None
None,None,Area,Production,Area,Production,Area,Production,Area,Production,Area,Production,MT/Ha
34,Dinajpur,72,76,5356,20185,4713,31365,506,7797,10647,59423,5.58
35,Gaibandha,5,7,5085,20022,886,8216,53,1035,6029,29280,4.86
36,Kurigram,65,87,3327,13311,1078,8811,140,1802,4610,24011,5.21
37,Lalmonirhat,0,0,2640,10290,767,6086,14,314,3421,16690,4.88
38,Nilphamari,0,0,2029,8116,2193,13694,98,1071,4320,22881,5.30
39,Panchagarh,0,0,1975,5563,1055,8798,117,1482,3147,15843,5.03
40,Rangpur,0,0,4697,18015,1951,17603,31,392,6679,36010,5.39
41,Thakurgaon,0,0,3777,14956,1607,11770,237,2836,5621,29562,5.26
Rangpur Division,None,142,170,28886,110458,14250,106343,1196,16729,44474,233700,5.25
42,Bogura,390,577,9633,38531,3707,36907,894,21921,14624,97936,6.70
43,Chapai Nawabganj,0,0,2373,8626,981,6730,7,135,3361,15491,4.61
44,Joypurhat,0,0,2201,8618,2579,17499,0,0,4780,26117,5.46
45,Naogaon,0,0,6808,24155,5760,39054,427,4603,12995,67812,5.22
46,Natore,0,0,2925,11351,5589,44571,287,4063,8801,59985,6.82
47,Pabna,230,339,8130,31932,2590,20768,16,197,10966,53236,4.85
48,Rajshahi,0,0,4639,18476,8414,48673,796,10542,13849,77691,5.61
49,Sirajganj,9,12,1757,6940,4105,25508,30,431,5901,32891,5.57
Rajshahi Division,None,629,928,38466,148629,33725,239710,2457,41892,75277,431159,5.73
50,Bandarban,99,124,404,1149,96,649,0,0,599,1922,3.21
51,Brahmanbaria,133,190,4873,19501,2607,22530,66,1242,7679,43463,5.66
52,Chandpur,162,213,6065,18777,3207,22411,207,3102,9641,44503,4.62
53,Chattogram,6607,7928,11299,38081,3115,27397,204,2714,21225,76120,3.59
54,Cumilla,1440,1642,12214,48821,7820,77107,1398,29242,22872,156812,6.86
55,Cox’s Bazar,154,192,1338,5274,63,554,0,0,1555,6020,3.87
56,Feni,319,436,4143,16525,1387,12810,51,574,5900,30345,5.14
57,Khagrachhari,374,553,1312,2891,267,1218,2,22,1955,4684,2.40
58,Lakshmipur,391,564,5791,22378,1963,12610,27,399,8172,35951,4.40
59,Noakhali,918,1179,11785,46507,881,8479,35,659,13619,56824,4.17
60,Rangamati,231,328,658,2063,32,202,0,0,921,2593,2.82
"Chattogram
Division",None,10828,13349,59882,221967,21438,185967,1990,37954,94138,459237,4.88
61,Habiganj,888,1322,2502,9562,1305,8697,134,1566,4829,21147,4.38
62,Moulvibazar,3172,4301,2751,10919,1277,10692,11,154,7211,26066,3.61
63,Sunamganj,469,680,2481,9734,227,1752,4,66,3181,12232,3.85
64,Sylhet,665,990,3635,12447,1809,10592,65,1134,6174,25163,4.08
Sylhet Division,None,5194,7293,11369,42662,4618,31733,214,2920,21395,84608,3.95
TOTAL,None,30938,41528,232884,871422,138194,1061532,22152,394259,424168,2368741,5.58
