Sl. No.,District,Extensive,None,Semi-intensive,None_1,Intensive,None_2,Highly Intensive,None_3,Total,None_4,None_5
28,Barguna,455,628,2035,7827,28,258,0,0,2518,8713,3.46
29,Barishal,839,1131,6189,24058,2706,15550,88,927,9822,41666,4.24
30,Bhola,300,441,2045,6973,5626,31772,36,488,8007,39674,4.95
31,Jhalokati,6,8,979,3764,266,1601,7,78,1258,5451,4.33
32,Patuakhali,1245,1842,6949,25302,188,1205,13,138,8395,28487,3.39
33,Pirojpur,747,1070,1972,6797,314,2602,0,0,3033,10469,3.45
Barishal Division,None,3592,5120,20169,74721,9128,52988,144,1631,33033,134460,4.07
None,None,< 1.5 MT/Ha,None,1.5 - 4.0 MT/Ha,None,>4- 10 MT/Ha,None,>10.0 MT/Ha,None,None,None,None
None,None,Area,Production,Area,Production,Area,Production,Area,Production,Area,Production,MT/Ha
34,Dinajpur,0,0,5405,21106,4381,29542,402,5074,10188,55722,5.47
35,Gaibandha,3,4,5157,20594,725,7158,27,335,5912,28091,4.75
36,Kurigram,72,100,3308,12967,1029,8156,131,1650,4540,22873,5.04
37,Lalmonirhat,0,0,2640,10423,677,5144,37,394,3354,15961,4.76
38,Nilphamari,0,0,1665,6433,2563,14809,92,974,4320,22216,5.14
39,Panchagarh,0,0,1975,5325,1048,8650,112,1292,3135,15267,4.87
40,Rangpur,0,0,4659,18506,1855,15625,6,73,6520,34204,5.25
41,Thakurgaon,0,0,3753,14931,1534,10462,219,2767,5506,28160,5.11
Rangpur Division,None,75,104,28562,110285,13812,99546,1026,12559,43475,222494,5.12
42,Bogura,390,527,9563,38131,3717,37149,854,19144,14524,94951,6.54
43,Chapai Nawabganj,0,0,2500,9028,756,5884,6,71,3262,14983,4.59
44,Joypurhat,0,0,2151,8096,2579,16868,0,0,4730,24964,5.28
45,Naogaon,0,0,9570,36011,3221,26664,125,1516,12916,64191,4.97
46,Natore,0,0,3685,14640,4607,37171,287,4089,8579,55900,6.52
47,Pabna,5,7,8197,32650,2549,19400,19,228,10770,52285,4.85
48,Rajshahi,0,0,4566,17601,8070,49484,397,4285,13033,71370,5.48
49,Sirajganj,10,13,2958,11731,2644,18182,30,391,5642,30317,5.37
Rajshahi Division,None,405,547,43190,167888,28143,210802,1718,29724,73456,408961,5.57
50,Bandarban,133,198,677,2023,91,464,0,0,901,2685,2.98
51,Brahmanbaria,72,107,4355,17250,2555,21087,68,1134,7050,39578,5.61
52,Chandpur,177,263,6439,24501,2902,17740,13,140,9531,42644,4.47
53,Chattogram,6390,9454,12973,49527,1797,12177,83,1377,21243,72535,3.41
54,Cumilla,1477,2185,12485,49860,7662,76464,1132,23153,22756,151662,6.66
55,Cox’s Bazar,72,105,1263,4846,65,483,0,0,1400,5434,3.88
56,Feni,311,458,4104,16321,1088,10854,57,745,5560,28378,5.10
57,Khagrachhari,159,237,1984,5808,94,622,0,0,2237,6667,2.98
58,Lakshmipur,240,342,6052,23507,1869,11486,0,0,8161,35335,4.33
59,Noakhali,905,1330,11723,46927,604,6031,10,152,13242,54440,4.11
60,Rangamati,231,338,619,2081,13,72,0,0,863,2491,2.89
Chattogram Division,None,10167,15017,62674,242651,18740,157480,1363,26701,92944,441849,4.75
61,Habiganj,902,1342,2489,8878,1300,9303,109,1210,4800,20733,4.32
62,Moulvibazar,3100,4626,2805,11157,1284,9682,3,45,7192,25510,3.55
63,Sunamganj,479,690,2467,9696,220,1673,4,64,3170,12123,3.82
64,Sylhet,981,1430,3462,11113,1654,10535,21,219,6118,23297,3.81
Sylhet Division,None,5462,8088,11223,40844,4458,31193,137,1538,21280,81663,3.84
TOTAL,None,31124,44408,239591,905351,126306,969292,18851,353616,415872,2272667,5.46
