Crop,Time of Sowing/ Transplanting,Time of Harvest,Per Acre Seed Requirement
58. Patal :,Mid August to Mid October,Mid January to March,1-2 thousand cuttings
59. Karala :,Mid April to Mid June,Mid June to Mid August,800 grams
"60. Chichinga :
(Snake Gourd)",Mid February to End April,July to September,800 grams
61. Kakrol :,Mid April to Mid June,Mid July to Mid September,400 grams
62. Yard long bean:,"Mid October to End
November",Early January to Mid April,4 kg
"63 Jhinga :
(Ribbed Gourd)",Mid April to Mid July,Mid June to Mid August,1-2 kg
"64. Puisak :
(Indian spinach)",Mid March to Early June,Late August to Mid November,200 grams
"65. Chal Kumra
(White Gourd)",Mid March to Mid June,Mid July to Mid October,90 grams
66. Sweet Gourd:,Second half of November,Early April to Mid June,200 grams
"67. Mukhi Kachu :
(Taro)",Mid April to Mid June,"Mid September to Mid
February",2-3 Ql
68 Danta : (Amaranth),Mid February to End June,"Late August to Mid
November",350 grams
69. Water Melon :,Mid October to Mid January,Mid February to Mid June,350 grams
70. Melon :,Mid October to Mid January,Mid February to Mid June,350 grams
"71. Kharmuj :
(Musk Melon)",Mid October to Mid January,Mid February to Mid June,350 grams
72. Pineapple :,a) Mid March to Mid May,May to July,"10-14 thousand
saplings"
1,2,3,4
,,,
,"b) Mid September to Mid
November",May to July,"10-14 thousand
saplings"
73. Banana :,"a) Mid January to Mid
March",D e cember to February,700-1700 suckers
,"b) Mid September to Mid
November",December to February,700-1700 suckers
74. Papaya :,Mid June to End August,Early July to End August,150 grams
75. Litchi :,Mid April to Mid June.,Mid April to Mid June,48 Saplings
,"(b) Mid September to Mid
November",Mid April to Mid June,28 Saplings
76. Mango :,a) Mid April to Mid June,Mid April to Mid June,28 Saplings
,"b) Mid September to Mid
November",Mid April to Mid June,
77. Jackfruit :,a) Mid April to Mid June,Mid April to Mid July,28 Saplings
,"b) Mid-September to Mid-
November",Mid-April to Mid-July,28 Saplings
78. Safeda (Sapota),Mid-April to Mid-July,(a) Mid-January to Mid-March,48 Saplings
,,(b) Mid May to Mid-July,
79. Pamelo,a) Mid-April to Mid-July,Mid-May to Mid-June,108 Saplings
,"b) Mid-September to Mid
November",Mid-May t to Mid-June,
80. Guava,Mid-April to Mid-July,Throughout the year,134 Saplings
,,"Peak season:
June to September",
81. Lime and Lemon,Mid-April to Mid-July,Throughout the year,
,,"Peak season:
June to September",302 Saplings
82. Date Palm,Mid-April to Mid-July,Mid-February to Mid-March,64-78 Seedlings
,,,
83. Dalim (Pomegranate),(a) Mid-April to Mid-July,Throughout the year,193 Sapling
,"(b) Mid-September to Mid
November",,
84. Ber,(a) Mid-April to Mid-July,February to March,69 Sapling
,"(b) Mid-September to Mid
November",,
"85. Sharifa (Custard
Apple)","Mid-September to Mid-
November","After 7 years fruiting round
the year",64-78 Seedlings
86. Coconut,May to Mid-July,-do-,64-74 Seedlings
1,2,3,4
87. Betelnut,"Mid. October to Mid-
December","Mid October to Mid-
December",1200-1400 Seedlings
