District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden (M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M.Tons),None_7,None_8
45,Bogura,257.00,260.00,263.00,919.11,936.51,954.87,1210.79,1240.49,1347.13,2129.90,2177.00,2302.00
46,Joypurhat,34.00,35.00,36.00,96.60,103.51,101.60,235.40,247.49,246.40,332.00,351.00,348.00
47,Naogaon,90.00,98.00,107.00,395.92,405.34,382.66,990.08,939.66,991.34,1386.00,1345.00,1374.00
48,Natore,1763.53,2314.00,2306.00,6177.99,6078.60,6243.07,1919.01,1854.40,1965.93,8097.00,7933.00,8209.00
49,Chapai Nawabganj,230.00,231.00,203.00,290.56,325.83,301.28,561.44,628.17,578.72,852.00,954.00,880.00
50,Pabna,791.00,842.00,844.00,3591.19,3853.05,3931.92,4366.81,4607.95,4958.08,7958.00,8461.00,8890.00
51,Rajshahi,700.00,705.00,710.00,2060.83,2043.30,1991.79,1819.17,1800.70,1698.21,3880.00,3844.00,3690.00
52,Sirajganj,33.00,35.00,37.00,37.89,39.71,40.39,389.11,407.29,417.61,427.00,447.00,458.00
Rajshahi Division,None,3898.53,4520.00,4506.00,13570.09,13785.85,13947.58,11491.81,11726.15,12203.42,25061.90,25512.00,26151.00
53,Dinajpur,1983.00,2163.00,2172.38,7001.57,6360.91,5321.62,4141.43,3798.09,3198.87,11143.00,"10159.0
0",8520.49
54,Gaibandha,64.44,68.34,68.55,25.74,25.81,25.78,368.25,372.18,372.25,393.99,397.60,398.03
55,Kurigram,123.96,125.20,129.00,81.93,84.56,90.42,646.17,655.04,716.58,728.10,739.60,807.00
56,Lalmonirhat,181.97,185.42,191.11,337.75,341.67,374.47,407.06,419.09,462.82,744.81,760.76,837.29
57,Nilphamari,404.41,391.72,398.96,417.56,429.48,435.40,1047.26,1090.37,1109.19,1464.82,1519.85,1544.59
58,Panchagar,729.11,732.00,730.73,979.56,1146.41,1176.55,1839.68,2299.52,2318.99,2819.24,3445.93,3495.54
59,Rangpur,119.33,124.01,125.12,588.08,630.68,565.44,1576.18,1627.76,1465.01,2164.26,2258.44,2030.45
60,Thakurgaon,206.74,232.36,232.47,1052.14,1141.32,1141.77,1225.96,1401.24,1400.80,2278.10,2542.56,2542.57
Rangpur Divison,None,3812.96,4022.65,4048.32,10484.33,10160.84,9131.45,11251.99,11663.28,11044.51,21736.32,21824.12,20175.96
61,Habiganj,165.63,194.08,198.04,64.87,66.27,69.46,325.90,331.27,343.58,390.77,397.54,413.04
62,Moulvibazar,118.67,111.45,106.57,49.47,50.40,49.86,847.39,866.96,863.00,896.86,917.36,912.86
63,Sunamganj,832.00,835.00,835.00,0.00,0.00,0.00,392.00,393.00,393.00,392.00,393.00,393.00
64,Sylhet,373.00,156.00,77.00,20.00,70.40,0.00,187.00,200.60,250.00,207.00,271.00,250.00
Sylhet Division,None,1489.30,1296.53,1216.61,134.34,187.07,119.32,1752.29,1791.83,1849.58,1886.63,1978.90,1968.90
BANGLADESH,None,20388.53,21759.23,22442.29,35981.96,42915.76,38718.32,5697.45,61792.58,59903.80,92958.41,104708.34,98622.12
