District/ Division,None,2022-23,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,2023-24,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22,None_23,None_24,None_25,None_26,None_27,None_28
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
16,Noakhali,,74,,,30,,,27.2,,,2.516,,,75,,,58,,,24,,,27.25,,,2.521,,,59,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
17,Rangamati,,0,,,0,,,0,,,0.000,,,0,,,0,,,0,,,0,,,0.000,,,0,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
Chattogram Division,None,,4128,,,1671,,,33.83,,,3.120,,,5213,,,4101,,,1660,,,31.48,,,2.904,,,4820,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
18,Dhaka,,216,,,87,,,32.23,,,2.973,,,259,,,164,,,66,,,35.01,,,3.229,,,214,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
19,Faridpur,,46928,,,18992,,,38.54,,,3.555,,,67510,,,47482.5,,,19216,,,42.83,,,3.950,,,75912,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
20,Gazipur,,58,,,23,,,21.05,,,1.942,,,46,,,60.17,,,24,,,21.45,,,1.978,,,48,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
21,Gopalgonj,,13739,,,5560,,,32.94,,,3.038,,,16893,,,12701,,,5140,,,33.73,,,3.111,,,15991,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
22,Kishoregonj,,3137,,,1270,,,27.24,,,2.513,,,3190,,,2686.75,,,1087,,,30.12,,,2.778,,,3021,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
23,Madaripur,,12176,,,4928,,,35.11,,,3.238,,,15957,,,12661,,,5124,,,36.75,,,3.390,,,17368,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
24,Manikgonj,,779,,,315,,,33.41,,,3.082,,,972,,,752.9,,,305,,,34.30,,,3.164,,,964,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
25,Munsigonj,,47,,,19,,,32.33,,,2.982,,,57,,,63.2,,,26,,,37.00,,,3.413,,,87,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
26,Narayangoj,,75,,,30,,,31.04,,,2.863,,,86,,,67.31,,,27,,,32.12,,,2.963,,,81,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
27,Narsingdi,,194,,,79,,,24.95,,,2.301,,,181,,,179.97,,,73,,,25.28,,,2.332,,,170,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
28,Rajbari,,33339,,,13492,,,34.94,,,3.223,,,43481,,,27727,,,11221,,,37.63,,,3.471,,,38946,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
29,Shariatpur,,11050,,,4472,,,34.85,,,3.214,,,14374,,,10539,,,4265,,,36.07,,,3.327,,,14190,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
30,Tangail,,10592,,,4286,,,31.63,,,2.917,,,12505,,,10070.6,,,4076,,,31.46,,,2.902,,,11826,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
Dhaka Division,None,,132330,,,53553,,,35.53,,,3.277,,,175513,,,125155,,,50650,,,38.28,,,3.530,,,178818,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
31,Bagerhat,,342,,,139,,,29.54,,,2.725,,,377,,,382.5,,,155,,,30.46,,,2.810,,,435,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
32,Chuadanga,,2130,,,862,,,40.06,,,3.695,,,3185,,,2145,,,868,,,42.03,,,3.877,,,3365,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
33,Jashore,,2090,,,846,,,33.09,,,3.052,,,2581,,,3234,,,1309,,,41.45,,,3.823,,,5004,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
34,Jhenaidah,,12736,,,5154,,,41.98,,,3.872,,,19957,,,12910,,,5225,,,42.35,,,3.906,,,20408,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
35,Khulna,,307,,,124,,,31.12,,,2.870,,,357,,,517,,,209,,,33.29,,,3.071,,,642,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
36,Kushtia,,30866,,,12491,,,42.17,,,3.890,,,48586,,,30810,,,12469,,,45.37,,,4.185,,,52178,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
37,Magura,,12447,,,5037,,,33.65,,,3.104,,,15634,,,13312.0,,,5387,,,36.96,,,3.409,,,18365,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,0,None,,None,None,,None,None,,None,None,,None,None
38,Meherpur,,29820,,,12068,,,45.40,,,4.188,,,50535,,,32117.0,,,12998,,,49.17,,,4.535,,,58947,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,0,None,,None,None,,None,None,,None,None,,None,None
39,Narail,,3851,,,1558,,,31.91,,,2.943,,,4587,,,4132,,,1672,,,34.13,,,3.148,,,5264,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
40,Satkhira,,1468,,,594,,,31.42,,,2.898,,,1721,,,1513.51,,,613,,,34.05,,,3.141,,,1924,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
None,None,Area,None,None,None,None,None,Yield Rate,None,None,None,None,None,Production,None,None,Area,None,None,None,None,None,None,Yield Rate,None,None,None,None,None,Production,None
None,None,Acres,None,None,"Hector
s",None,None,"Acres
(Maund)",None,None,"Hector
s
(M.
Ton)",None,None,(M. Ton),None,None,Acres,None,None,None,Hectors,None,None,"Acres
(Maund)",None,None,"Hectors
(M. Ton)",None,None,(M. Ton),None
Khulna Division,None,,96057,,,38874,,,41.14,,,3.795,,,147521,None,,,101073,,,40904,,,44.14,,,4.071,,,166533
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
41,Jamalpur,,9325,,,3774,,,31.34,,,2.697,,,10179,None,,,6372,,,2579,,,33.56,,,2.888,,,7448
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
42,Mymensingh,,4130,,,1671,,,31.38,,,2.701,,,4514,None,,,4191,,,1696,,,37.93,,,3.265,,,5537
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
43,Netrokona,,1746,,,707,,,35.24,,,3.033,,,2143,None,,,1713,,,693,,,35.88,,,3.088,,,2141
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
44,Sherpur,,1912,,,774,,,31.31,,,2.695,,,2085,None,,,2109,,,853,,,38.48,,,3.312,,,2826
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
"Mymensingh
Division",None,,17113,,,6926,,,29.62,,,2.732,,,18922,None,,,14385,,,5821,,,33.43,,,3.084,,,17952
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
45,Bogura,,5416,,,2192,,,30.53,,,2.628,,,5760,None,,,5246.94,,,2123,,,33.6,,,2.892,,,6141
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
46,Joypurhat,,5605,,,2268,,,30.51,,,2.626,,,5956,None,,,5583.00,,,2259,,,37.59,,,3.235,,,7310
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
47,Naogaon,,41108,,,16636,,,39.62,,,3.410,,,56729,,41375.00,,None,,,16744,,,41.87,,,3.604,,,60340
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None,None,,None
48,Natore,,61982,,,25084,,,46.57,,,4.008,,,100540,,61454.00,,None,,,24870,,,47.91,,,4.123,,,102552
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None,None,,None
49,"Chapai
Nawabganj",,60365,,,24429,,,47.85,,,4.118,,,100608,,66012.00,,None,,,26715,,,49.25,,,4.239,,,113239
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None,None,,None
50,Pabna,,64015,,,25907,,,35.61,,,3.065,,,79400,None,,,63806.00,,,25822,,,39.03,,,3.359,,,86741
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
51,Rajshahi,,55803,,,22583,,,39.24,,,3.377,,,76270,None,,,57849.25,,,23411,,,43.87,,,3.776,,,88396
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
52,Sirajganj,,11455,,,4636,,,32.75,,,2.819,,,13067,None,,,11499.24,,,4654,,,39.57,,,3.406,,,15849
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
Rajshahi Division,None,,305749,,,123735,,,38.41,,,3.542,,,438330,None,,,312825,,,126599,,,41.16,,,3.796,,,480568
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
53,Dinajpur,,7976,,,3228,,,35.16,,,3.026,,,9768,None,,,6947,,,2811,,,39.63,,,3.411,,,9589
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
54,Gaibandha,,8120,,,3286,,,27.59,,,2.375,,,7803,None,,,8025,,,3248,,,35.89,,,3.089,,,10032
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
55,Kurigram,,18945,,,7667,,,35.14,,,3.024,,,23188,None,,,17830,,,7216,,,38.42,,,3.307,,,23860
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
56,Lalmonirhat,,2822,,,1142,,,41.61,,,3.581,,,4090,None,,,2338,,,946,,,41.31,,,3.555,,,3364
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
57,Nilphamari,,10338,,,4184,,,37.12,,,3.195,,,13366,None,,,9862,,,3991,,,37.21,,,3.203,,,12782
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
58,Panchagarh,,49777,,,20144,,,43.31,,,3.728,,,75090,None,,,47733,,,19317,,,45.93,,,3.953,,,76363
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
59,Rangpur,,4002,,,1620,,,36.22,,,3.117,,,5049,None,,,4042,,,1636,,,38.02,,,3.272,,,5353
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
60,Thakurgaon,,113837,,,46069,,,41.68,,,3.587,,,165264,None,,,104226,,,42180,,,45.37,,,3.905,,,164707
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
Rangpur Division,None,,215817,,,87340,,,37.69,,,3.476,,,303618,None,,,201003,,,81345,,,40.79,,,3.762,,,306050
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
61,Habiganj,,550,,,223,,,39.76,,,3.422,,,762,None,,,521,,,211,,,33.90,,,2.918,,,615
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
62,Moulvibazar,,127,,,51,,,26.17,,,2.252,,,116,None,,,101,,,41,,,32.88,,,2.830,,,116
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
63,Sunamganj,,858,,,347,,,41.09,,,3.537,,,1228,None,,,926,,,375,,,41.54,,,3.575,,,1340
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
64,Sylhet,,602,,,244,,,27.18,,,2.339,,,570,None,,,504,,,204,,,28.51,,,2.454,,,500
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
Sylhet Division,None,,"2,137",,,865,,,33.54,,,3.093,,,2675,None,,,"2,052",,,830,,,33.57,,,3.096,,,2571
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
Bangladesh,None,,782892,,,316832,,,37.89,,,3.495,,,1107195,None,,,769842,,,311551,,,40.79,,,3.763,,,1172242
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,None,,None,None,,None,None,,None,None,,None
